targy_nev,kredit,felelos,nyelv,link
Bevezetés a Fenntartható Fejlődési Célok (SDGs) kérdéskörébe,3,Dr. Ásványi Katalin,magyar,https://www.uni-corvinus.hu/tantargyak/FENT033NMBB?semester=2024/25/2
Bevezetés a Gestalt alapú coachingba,3,Dr. Takács Sándor,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM022LMSB?semester=2024/25/2
Bevezetés a játékelméletbe,4,Bakó Barna,magyar,https://www.uni-corvinus.hu/tantargyak/KG00015NMBB?semester=2024/25/1
Bevezetés a közgazdasági dinamikába,4,Dr. Major Klára,magyar,https://www.uni-corvinus.hu/tantargyak/4MK24NAK14O?semester=2023/24/1
Bevezetés a közgazdasági játékelméletbe,5,Mágó Mánuel László,magyar,https://www.uni-corvinus.hu/tantargyak/KG00107NMOB?semester=2024/25/2
Bevezetés a közgazdasági játékelméletbe,5,Mágó Mánuel László,magyar,https://www.uni-corvinus.hu/tantargyak/KG00107NMOB-SPM-EK?semester=2024/25/2
Bevezetés a közgazdaságtanba,6,Dr. Németh Petra,magyar,https://www.uni-corvinus.hu/tantargyak/7VG32NBKG5B?semester=2024/25/2
Bevezetés a közgazdaságtanba,6,Dr. Németh Petra,magyar,https://www.uni-corvinus.hu/tantargyak/KG00091NMBB?semester=2024/25/2
Bevezetés a makrogazdasági modellezésbe,5,Szabó-Bakos Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/KG00109NMOB?semester=2024/25/2
Bevezetés a mértékelméletbe,5,Dr. Magyarkuti Gyula,magyar,https://www.uni-corvinus.hu/tantargyak/4MA12NAK07O?semester=2024/25/2
Bevezetés a nemzetközi vállalatgazdaságtanba,3,Ónodi Annamária,magyar,https://www.uni-corvinus.hu/tantargyak/VALL025NMBB?semester=2024/25/2
Bevezetés a numerikus pénzügyekbe,7,Dr. Vidovics-Dancs Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/4PU51NAK45M?semester=2024/25/1
Bevezetés a Pénzügyi Technológiákba (FinTech),5,Dr. Varga Krisztián,magyar,https://www.uni-corvinus.hu/tantargyak/2SZ31NAK25B?semester=2024/25/2
Bevezetés a politikai gazdaságtanba,3,Dr. Sárvári Balázs,magyar,https://www.uni-corvinus.hu/tantargyak/GKOI012NMBB?semester=2023/24/2
Bevezetés a politikatudományba,3,Dr. Várnagy Réka,magyar,https://www.uni-corvinus.hu/tantargyak/NPPT033NMBB?semester=2024/25/1
Bevezetés a politikatudományba,3,Dr. Várnagy Réka,magyar,https://www.uni-corvinus.hu/tantargyak/NPPT035NMBS?semester=2023/24/2
Bevezetés a programozásba,6,Dr. Fodor Szabina Eszter,magyar,https://www.uni-corvinus.hu/tantargyak/ADIN084NMOB?semester=2024/25/1
Bevezetés a sport üzleti működésébe,6,Szabó Ágnes,magyar,https://www.uni-corvinus.hu/tantargyak/VALL026NMBB?semester=2024/25/2
Bevezetés a sportgazdaságtanba,6,Dr. Havran Zsolt,magyar,https://www.uni-corvinus.hu/tantargyak/VGUG031NMBS?semester=2024/25/2
Bevezetés a sportszervezetek empirikus kutatásába,6,Kiss Csaba,magyar,https://www.uni-corvinus.hu/tantargyak/VTSM071NMBS?semester=2024/25/2
Bevezetés az egészségügy közgazdaságtanába,6,Beretzky Zsuzsanna,magyar,https://www.uni-corvinus.hu/tantargyak/4KO03NAK35B?semester=2024/25/2
